2017 Oct 11 16:57:47 [9] INFO  - Dates,Mean Reversion 
2017 Oct 11 16:57:49 [9] INFO  - 9/13/2006 12:00:00 AM,-0.00014
2017 Oct 11 16:57:49 [9] INFO  - 9/14/2006 12:00:00 AM,0.00074
2017 Oct 11 16:57:49 [9] INFO  - 9/15/2006 12:00:00 AM,-0.00139
2017 Oct 11 16:57:49 [9] INFO  - 9/18/2006 12:00:00 AM,-0.00197
2017 Oct 11 16:57:49 [9] INFO  - 9/19/2006 12:00:00 AM,0.00081
2017 Oct 11 16:57:49 [9] INFO  - 9/20/2006 12:00:00 AM,-0.00038
2017 Oct 11 16:57:49 [9] INFO  - 9/21/2006 12:00:00 AM,-0.00116
2017 Oct 11 16:57:49 [9] INFO  - 9/22/2006 12:00:00 AM,-6E-05
2017 Oct 11 16:57:49 [9] INFO  - 9/25/2006 12:00:00 AM,0.00396
2017 Oct 11 16:57:49 [9] INFO  - 9/26/2006 12:00:00 AM,-0.00049
2017 Oct 11 16:57:49 [9] INFO  - 9/27/2006 12:00:00 AM,-0.00091
2017 Oct 11 16:57:49 [9] INFO  - 9/28/2006 12:00:00 AM,0.0065
2017 Oct 11 16:57:49 [9] INFO  - 9/29/2006 12:00:00 AM,0.00042
2017 Oct 11 16:57:49 [9] INFO  - 10/2/2006 12:00:00 AM,0.00862
2017 Oct 11 16:57:49 [9] INFO  - 10/3/2006 12:00:00 AM,-0.0013
2017 Oct 11 16:57:49 [9] INFO  - 10/4/2006 12:00:00 AM,-0.00555
2017 Oct 11 16:57:49 [9] INFO  - 10/5/2006 12:00:00 AM,0.00214
2017 Oct 11 16:57:49 [9] INFO  - 10/6/2006 12:00:00 AM,0.00163
2017 Oct 11 16:57:49 [9] INFO  - 10/9/2006 12:00:00 AM,0.00023
2017 Oct 11 16:57:49 [9] INFO  - 10/10/2006 12:00:00 AM,0.00098
2017 Oct 11 16:57:49 [9] INFO  - 10/11/2006 12:00:00 AM,0.00408
2017 Oct 11 16:57:49 [9] INFO  - 10/12/2006 12:00:00 AM,-0.00576
2017 Oct 11 16:57:49 [9] INFO  - 10/13/2006 12:00:00 AM,0.00092
2017 Oct 11 16:57:49 [9] INFO  - 10/16/2006 12:00:00 AM,-0.00444
2017 Oct 11 16:57:49 [9] INFO  - 10/17/2006 12:00:00 AM,0.008
2017 Oct 11 16:57:49 [9] INFO  - 10/18/2006 12:00:00 AM,0.00545
2017 Oct 11 16:57:49 [9] INFO  - 10/19/2006 12:00:00 AM,-1E-05
2017 Oct 11 16:57:49 [9] INFO  - 10/20/2006 12:00:00 AM,0.00188
2017 Oct 11 16:57:49 [9] INFO  - 10/23/2006 12:00:00 AM,0.00208
2017 Oct 11 16:57:49 [9] INFO  - 10/24/2006 12:00:00 AM,0.00349
2017 Oct 11 16:57:49 [9] INFO  - 10/25/2006 12:00:00 AM,-0.0022
2017 Oct 11 16:57:49 [9] INFO  - 10/26/2006 12:00:00 AM,-0.00079
2017 Oct 11 16:57:49 [9] INFO  - 10/27/2006 12:00:00 AM,-0.00078
2017 Oct 11 16:57:49 [9] INFO  - 10/30/2006 12:00:00 AM,0.00078
2017 Oct 11 16:57:49 [9] INFO  - 10/31/2006 12:00:00 AM,-0.00053
2017 Oct 11 16:57:49 [9] INFO  - 11/1/2006 12:00:00 AM,0.00989
2017 Oct 11 16:57:49 [9] INFO  - 11/2/2006 12:00:00 AM,-0.00286
2017 Oct 11 16:57:49 [9] INFO  - 11/3/2006 12:00:00 AM,0.00278
2017 Oct 11 16:57:49 [9] INFO  - 11/6/2006 12:00:00 AM,-0.00639
2017 Oct 11 16:57:49 [9] INFO  - 11/7/2006 12:00:00 AM,0.00449
2017 Oct 11 16:57:49 [9] INFO  - 11/8/2006 12:00:00 AM,0.00163
2017 Oct 11 16:57:49 [9] INFO  - 11/9/2006 12:00:00 AM,0.00403
2017 Oct 11 16:57:49 [9] INFO  - 11/10/2006 12:00:00 AM,0.00242
2017 Oct 11 16:57:49 [9] INFO  - 11/13/2006 12:00:00 AM,-0.00158
2017 Oct 11 16:57:49 [9] INFO  - 11/14/2006 12:00:00 AM,0.00096
2017 Oct 11 16:57:49 [9] INFO  - 11/15/2006 12:00:00 AM,-0.00507
2017 Oct 11 16:57:49 [9] INFO  - 11/16/2006 12:00:00 AM,0.00484
2017 Oct 11 16:57:49 [9] INFO  - 11/17/2006 12:00:00 AM,0.00509
2017 Oct 11 16:57:49 [9] INFO  - 11/20/2006 12:00:00 AM,0.00408
2017 Oct 11 16:57:49 [9] INFO  - 11/21/2006 12:00:00 AM,-0.00279
2017 Oct 11 16:57:49 [9] INFO  - 11/22/2006 12:00:00 AM,-0.00497
